,CONGLOME,VIVIENDA,ID,P367,P368_TIEMPO,P368_HORAS,P368_DIAS,P369,P370_MESES,P370_NS,P371,P371_AGUA,P371_FORMULA,P371_LECHE_ENVASADA,P371_LECHE_VACA,P371_JUGO,P371_OTRO,P371_CALDOS,P371_NINGUNO
164,7650,65,7.0,1,2.0,10.0,,1.0,,,1367,1,2,1,2,2,1,1,2
165,7703,55,7.0,1,1.0,,,2.0,16.0,,126,1,1,2,2,2,1,2,2
166,7798,68,5.0,1,1.0,,,1.0,,,167,1,2,2,2,2,1,1,2
167,7812,61,8.0,1,2.0,15.0,,2.0,3.0,,367,2,2,1,2,2,1,1,2
168,7818,44,5.0,1,2.0,8.0,,1.0,,,1,1,2,2,2,2,2,2,2
169,7888,80,4.0,1,2.0,5.0,,2.0,6.0,,12,1,1,2,2,2,2,2,2
170,7921,50,5.0,1,2.0,7.0,,1.0,,,367,2,2,1,2,2,1,1,2
171,7943,23,6.0,1,2.0,2.0,,1.0,,,17,1,2,2,2,2,2,1,2
172,7943,58,6.0,1,2.0,3.0,,1.0,,,13567,1,2,1,2,1,1,1,2
173,7960,80,4.0,1,2.0,2.0,,2.0,24.0,,36,2,2,1,2,2,1,2,2
174,7977,31,6.0,1,1.0,,,2.0,18.0,,1367,1,2,1,2,2,1,1,2
175,7992,38,8.0,1,1.0,,,1.0,,,137,1,2,1,2,2,2,1,2
176,8013,39,7.0,1,1.0,,,2.0,5.0,,12567,1,1,2,2,1,1,1,2
177,8013,74,5.0,1,2.0,4.0,,1.0,,,357,2,2,1,2,1,2,1,2
178,8110,83,5.0,1,2.0,1.0,,2.0,12.0,,1367,1,2,1,2,2,1,1,2
179,8120,26,7.0,1,2.0,1.0,,2.0,2.0,,126,1,1,2,2,2,1,2,2
180,8131,93,5.0,1,1.0,,,1.0,,,36,2,2,1,2,2,1,2,2
181,8131,94,3.0,1,1.0,,,1.0,,,1367,1,2,1,2,2,1,1,2
182,8188,47,4.0,1,2.0,2.0,,2.0,12.0,,1367,1,2,1,2,2,1,1,2
183,8188,96,4.0,1,2.0,4.0,,2.0,14.0,,156,1,2,2,2,1,1,2,2
184,8281,19,6.0,1,3.0,,12.0,2.0,15.0,,36,2,2,1,2,2,1,2,2
185,8281,19,9.0,1,1.0,,,2.0,12.0,,1567,1,2,2,2,1,1,1,2
186,8282,73,4.0,1,1.0,,,2.0,18.0,,1356,1,2,1,2,1,1,2,2
187,8305,49,7.0,1,2.0,2.0,,2.0,10.0,,1356,1,2,1,2,1,1,2,2
188,8305,49,8.0,1,2.0,2.0,,2.0,10.0,,1356,1,2,1,2,1,1,2,2
189,8307,39,6.0,1,2.0,1.0,,2.0,12.0,,16,1,2,2,2,2,1,2,2
190,8307,90,5.0,1,2.0,1.0,,2.0,15.0,,136,1,2,1,2,2,1,2,2
191,8315,17,3.0,1,2.0,1.0,,2.0,11.0,,1367,1,2,1,2,2,1,1,2
192,8315,44,7.0,1,2.0,1.0,,2.0,12.0,,36,2,2,1,2,2,1,2,2
193,8315,46,5.0,1,3.0,,31.0,2.0,12.0,,16,1,2,2,2,2,1,2,2
194,8315,52,8.0,1,2.0,1.0,,2.0,29.0,,1,1,2,2,2,2,2,2,2
195,8317,3,99.0,1,1.0,,,1.0,,,136,1,2,1,2,2,1,2,2
196,8317,68,7.0,1,2.0,1.0,,2.0,11.0,,167,1,2,2,2,2,1,1,2
197,8318,8,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
198,8327,64,7.0,1,1.0,,,1.0,,,6,2,2,2,2,2,1,2,2
